Title,Decision,Decision_Date
Durvalumab with etoposide and either carboplatin or cisplatin for untreated extensive-stage small-cell lung cancer,Conditional,2025-02-19
Selpercatinib for previously treated RET fusion-positive advanced non-small-cell lung cancer,Conditional,2025-02-19
Ganaxolone for treating seizures caused by CDKL5 deficiency disorder in people 2 years and over,Rejected,2025-02-12
Selpercatinib for advanced thyroid cancer with RET alterations after treatment with a targeted cancer drug in people 12 years and over,Conditional,2025-02-12
Selpercatinib for advanced thyroid cancer with RET alterations untreated with a targeted cancer drug in people 12 years and over,Conditional,2025-02-12
Olaparib for treating BRCA mutation-positive HER2-negative advanced breast cancer after chemotherapy,Approved,2025-02-12
Pembrolizumab for adjuvant treatment of resected non-small-cell lung cancer,Approved,2025-02-05
Elacestrant for treating oestrogen receptor-positive HER2-negative advanced breast cancer with an ESR1 mutation after endocrine treatment,Conditional,2025-02-05
Vadadustat for treating symptomatic anaemia in adults having dialysis for chronic kidney disease,Approved,2025-01-23
Niraparib with abiraterone acetate and prednisone for untreated hormone-relapsed metastatic prostate cancer (terminated appraisal),Rejected,2025-01-22
Anhydrous sodium thiosulfate for preventing hearing loss caused by cisplatin chemotherapy in people 1 month to 17 years with localised solid tumours,Approved,2025-01-22
Vamorolone for treating Duchenne muscular dystrophy in people 4 years and over,Approved,2025-01-16
Bimekizumab for treating moderate to severe hidradenitis suppurativa (terminated appraisal),Rejected,2025-01-15
Andexanet alfa for reversing anticoagulation in people with intracranial haemorrhage (terminated appraisal),Rejected,2025-01-15
Durvalumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,Approved,2025-01-15
Andexanet alfa for reversing anticoagulation from apixaban or rivaroxaban,Conditional,2021-05-12
Tebentafusp for treating advanced uveal melanoma,Approved,2025-01-09
Tirzepatide for managing overweight and obesity,Conditional,2024-12-23
Ublituximab for treating relapsing multiple sclerosis,Conditional,2024-12-18
Elranatamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,Approved,2024-12-11
Toripalimab with chemotherapy for untreated advanced oesophageal squamous cell cancer (terminated appraisal),Rejected,2024-12-11
Crizotinib for treating ROS1-positive advanced non-small-cell lung cancer,Conditional,2024-12-04
Bevacizumab gamma for treating wet age-related macular degeneration,Conditional,2024-12-04
Eplontersen for treating hereditary transthyretin-related amyloidosis,Approved,2024-11-27
Pembrolizumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,Approved,2024-11-20
Fedratinib for treating disease-related splenomegaly or symptoms in myelofibrosis,Conditional,2024-11-20
Crovalimab for treating paroxysmal nocturnal haemoglobinuria in people 12 years and over,Approved,2024-11-20
Elafibranor for previously treated primary biliary cholangitis,Approved,2024-11-14
Alectinib for adjuvant treatment of ALK-positive non-small-cell lung cancer,Approved,2024-11-13
Teclistamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,Approved,2024-11-13
Avapritinib for treating advanced systemic mastocytosis,Approved,2024-11-06
Danicopan with ravulizumab or eculizumab for treating paroxysmal nocturnal haemoglobinuria,Conditional,2024-10-23
"Quizartinib for induction, consolidation and maintenance treatment of newly diagnosed FLT3-ITD-positive acute myeloid leukaemia",Approved,2024-10-23
Belzutifan for treating tumours associated with von Hippel-Lindau disease,Approved,2024-10-16
Latanoprost–netarsudil for previously treated primary open-angle glaucoma or ocular hypertension,Conditional,2024-10-02
Trifluridine–tipiracil with bevacizumab for treating metastatic colorectal cancer after 2 systemic treatments,Approved,2024-09-25
"Rucaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer",Approved,2024-09-17
Empagliflozin for treating type 2 diabetes in people 10 to 17 years (terminated appraisal),Rejected,2024-09-12
Evinacumab for treating homozygous familial hypercholesterolaemia in people 12 years and over,Approved,2024-09-11
Exagamglogene autotemcel for treating transfusion-dependent beta-thalassaemia in people 12 years and over,Conditional,2024-09-11
Faricimab for treating visual impairment caused by macular oedema after retinal vein occlusion,Approved,2024-09-11
Futibatinib for previously treated advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,Approved,2024-09-11
Iptacopan for treating paroxysmal nocturnal haemoglobinuria,Approved,2024-09-04
Zanubrutinib for treating marginal zone lymphoma after anti-CD20-based treatment,Approved,2024-09-04
Vibegron for treating symptoms of overactive bladder syndrome,Approved,2024-09-04
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced HER2-negative gastric or gastro-oesophageal junction adenocarcinoma,Approved,2024-08-29
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced oesophageal and gastro-oesophageal junction cancer,Approved,2021-10-20
Risankizumab for treating moderately to severely active ulcerative colitis,Conditional,2024-08-22
Relugolix for treating hormone-sensitive prostate cancer,Approved,2024-08-14
Linzagolix for treating moderate to severe symptoms of uterine fibroids,Conditional,2024-08-14
Enzalutamide for treating non-metastatic prostate cancer after radical prostatectomy or radiotherapy (terminated appraisal),Rejected,2024-08-08
Abaloparatide for treating osteoporosis after menopause,Conditional,2024-08-07
Burosumab for treating X-linked hypophosphataemia in adults,Approved,2024-08-07
Trastuzumab deruxtecan for treating HER2-low metastatic or unresectable breast cancer after chemotherapy,Rejected,2024-07-29
"Ivacaftor–tezacaftor–elexacaftor, tezacaftor–ivacaftor and lumacaftor–ivacaftor for treating cystic fibrosis",Approved,2024-07-24
Etranacogene dezaparvovec for treating moderately severe or severe haemophilia B,Approved,2024-07-24
Tenecteplase for treating acute ischaemic stroke,Approved,2024-07-24
Lebrikizumab for treating moderate to severe atopic dermatitis in people 12 years and over,Conditional,2024-07-10
Lisocabtagene maraleucel for treating relapsed or refractory aggressive B-cell non-Hodgkin lymphoma (terminated appraisal),Rejected,2024-07-10
Selective internal radiation therapy with QuiremSpheres for treating unresectable advanced hepatocellular carcinoma,Conditional,2024-07-03
Selective internal radiation therapies for treating hepatocellular carcinoma,Conditional,2021-03-31
Tafamidis for treating transthyretin amyloidosis with cardiomyopathy,Approved,2024-06-19
Baricitinib for treating juvenile idiopathic arthritis in people 2 years and over (terminated appraisal),Rejected,2024-06-13
Pembrolizumab with trastuzumab and chemotherapy for untreated locally advanced unresectable or metastatic HER2-positive gastric or gastro-oesophageal junction adenocarcinoma,Rejected,2024-06-12
Ivosidenib with azacitidine for untreated acute myeloid leukaemia with an IDH1 R132 mutation,Approved,2024-06-05
Nivolumab for adjuvant treatment of completely resected melanoma at high risk of recurrence in people 12 years and over (terminated appraisal),Rejected,2024-06-05
Trastuzumab deruxtecan for treating HER2-mutated advanced non-small-cell lung cancer after platinum-based chemotherapy (terminated appraisal),Rejected,2024-05-29
Dabrafenib with trametinib for treating BRAF V600E mutation-positive glioma in children and young people aged 1 year and over,Approved,2024-05-29
Zanubrutinib with obinutuzumab for treating relapsed or refractory B-cell follicular lymphoma after 2 or more treatments (terminated appraisal),Rejected,2024-05-29
Sirolimus for treating facial angiofibroma caused by tuberous sclerosis complex in people 6 years and over (terminated appraisal),Rejected,2024-05-22
Natalizumab for the treatment of adults with highly active relapsing–remitting multiple sclerosis,Approved,2007-08-22
Alemtuzumab for treating highly active relapsing–remitting multiple sclerosis,Approved,2014-05-28
Cladribine for treating relapsing–remitting multiple sclerosis,Conditional,2019-12-19
Ranibizumab and pegaptanib for the treatment of age-related macular degeneration,Rejected,2008-08-27
Ranibizumab for treating choroidal neovascularisation associated with pathological myopia,Conditional,2013-11-27
Ranibizumab for treating visual impairment caused by macular oedema secondary to retinal vein occlusion,Conditional,2013-05-22
Atogepant for preventing migraine,Conditional,2024-05-15
Selinexor with bortezomib and dexamethasone for previously treated multiple myeloma,Conditional,2024-05-15
Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 25 years and under,Approved,2024-05-15
Selinexor with dexamethasone for treating relapsed or refractory multiple myeloma after 4 or more treatments,Approved,2024-05-08
Remdesivir and tixagevimab plus cilgavimab for treating COVID-19,Rejected,2024-05-08
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma in people 3 years and over,Conditional,2024-05-01
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma,Rejected,2018-09-03
Gefapixant for treating refractory or unexplained chronic cough (terminated appraisal),Rejected,2024-04-30
Melphalan flufenamide with dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2024-04-25
Pembrolizumab with gemcitabine and cisplatin for untreated advanced biliary tract cancer (terminated appraisal),Rejected,2024-04-24
Cabozantinib with nivolumab for untreated advanced renal cell carcinoma,Conditional,2024-04-10
Dostarlimab with platinum-based chemotherapy for treating advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency,Approved,2024-04-03
Sebelipase alfa for treating lysosomal acid lipase deficiency that is not Wolman disease (terminated appraisal),Rejected,2024-03-28
