Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
Durvalumab with etoposide and either carboplatin or cisplatin for untreated extensive-stage small-cell lung cancer,Conditional,2025-02-19,Durvalumab_with_etoposide_and_either_carboplatin_or_cisplatin_for_untreated_extensive-stage_small-cell_lung_cancer.pdf,2024-08,Cancer,Drug
Selpercatinib for previously treated RET fusion-positive advanced non-small-cell lung cancer,Conditional,2025-02-19,Selpercatinib_for_previously_treated_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,2024-04,Cancer,Drug
Ganaxolone for treating seizures caused by CDKL5 deficiency disorder in people 2 years and over,Rejected,2025-02-12,Ganaxolone_for_treating_seizures_caused_by_CDKL5_deficiency_disorder_in_people_2_years_and_over.pdf,,"Nervous System, Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Selpercatinib for advanced thyroid cancer with RET alterations after treatment with a targeted cancer drug in people 12 years and over,Conditional,2025-02-12,Selpercatinib_for_advanced_thyroid_cancer_with_RET_alterations_after_treatment_with_a_targeted_cancer_drug_in_people_12_years_and_over.pdf,2024-04,Cancer,Drug
Selpercatinib for advanced thyroid cancer with RET alterations untreated with a targeted cancer drug in people 12 years and over,Conditional,2025-02-12,Selpercatinib_for_advanced_thyroid_cancer_with_RET_alterations_untreated_with_a_targeted_cancer_drug_in_people_12_years_and_over.pdf,2023-10,Cancer,Drug
Olaparib for treating BRCA mutation-positive HER2-negative advanced breast cancer after chemotherapy,Approved,2025-02-12,Olaparib_for_treating_BRCA_mutation-positive_HER2-negative_advanced_breast_cancer_after_chemotherapy.pdf,2024-06,Cancer,Drug
Pembrolizumab for adjuvant treatment of resected non-small-cell lung cancer,Approved,2025-02-05,Pembrolizumab_for_adjuvant_treatment_of_resected_non-small-cell_lung_cancer.pdf,2024-03,Cancer,Drug
Elacestrant for treating oestrogen receptor-positive HER2-negative advanced breast cancer with an ESR1 mutation after endocrine treatment,Conditional,2025-02-05,Elacestrant_for_treating_oestrogen_receptor-positive_HER2-negative_advanced_breast_cancer_with_an_ESR1_mutation_after_endocrine_treatment.pdf,2024-05,Cancer,Drug
Vadadustat for treating symptomatic anaemia in adults having dialysis for chronic kidney disease,Approved,2025-01-23,Vadadustat_for_treating_symptomatic_anaemia_in_adults_having_dialysis_for_chronic_kidney_disease.pdf,2024-04,Chronic,Drug
Niraparib with abiraterone acetate and prednisone for untreated hormone-relapsed metastatic prostate cancer (terminated appraisal),Rejected,2025-01-22,Niraparib_with_abiraterone_acetate_and_prednisone_for_untreated_hormone-relapsed_metastatic_prostate_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Anhydrous sodium thiosulfate for preventing hearing loss caused by cisplatin chemotherapy in people 1 month to 17 years with localised solid tumours,Approved,2025-01-22,Anhydrous_sodium_thiosulfate_for_preventing_hearing_loss_caused_by_cisplatin_chemotherapy_in_people_1_month_to_17_years_with_localised_solid_tumours.pdf,2024-04,Cancer,Drug
Vamorolone for treating Duchenne muscular dystrophy in people 4 years and over,Approved,2025-01-16,Vamorolone_for_treating_Duchenne_muscular_dystrophy_in_people_4_years_and_over.pdf,2023-10,"Chronic, Rare Disease (Orphan Drugs), Musculoskeletal diseases",Drug
Bimekizumab for treating moderate to severe hidradenitis suppurativa (terminated appraisal),Rejected,2025-01-15,Bimekizumab_for_treating_moderate_to_severe_hidradenitis_suppurativa_(terminated_appraisal).pdf,,Chronic,Drug
Andexanet alfa for reversing anticoagulation in people with intracranial haemorrhage (terminated appraisal),Rejected,2025-01-15,Andexanet_alfa_for_reversing_anticoagulation_in_people_with_intracranial_haemorrhage_(terminated_appraisal).pdf,,"Cardiovascular, Nervous System",Drug
Durvalumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,Approved,2025-01-15,Durvalumab_with_chemotherapy_before_surgery_(neoadjuvant)_then_alone_after_surgery_(adjuvant)_for_treating_resectable_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Andexanet alfa for reversing anticoagulation from apixaban or rivaroxaban,Conditional,2021-05-12,Andexanet_alfa_for_reversing_anticoagulation_from_apixaban_or_rivaroxaban.pdf,,Cardiovascular,Drug
Tebentafusp for treating advanced uveal melanoma,Approved,2025-01-09,Tebentafusp_for_treating_advanced_uveal_melanoma.pdf,2021-11,"Cancer, Rare Disease (Orphan Drugs)",Drug
Tirzepatide for managing overweight and obesity,Conditional,2024-12-23,Tirzepatide_for_managing_overweight_and_obesity.pdf,,Chronic,Drug
Ublituximab for treating relapsing multiple sclerosis,Conditional,2024-12-18,Ublituximab_for_treating_relapsing_multiple_sclerosis.pdf,2024-08,Nervous System,Drug
Elranatamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,Approved,2024-12-11,Elranatamab_for_treating_relapsed_and_refractory_multiple_myeloma_after_3_or_more_treatments.pdf,2023-10,Cancer,Drug
Toripalimab with chemotherapy for untreated advanced oesophageal squamous cell cancer (terminated appraisal),Rejected,2024-12-11,Toripalimab_with_chemotherapy_for_untreated_advanced_oesophageal_squamous_cell_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Crizotinib for treating ROS1-positive advanced non-small-cell lung cancer,Conditional,2024-12-04,Crizotinib_for_treating_ROS1-positive_advanced_non-small-cell_lung_cancer.pdf,2024-05,Cancer,Drug
Bevacizumab gamma for treating wet age-related macular degeneration,Conditional,2024-12-04,Bevacizumab_gamma_for_treating_wet_age-related_macular_degeneration.pdf,2024-07,Nervous System,Drug
Eplontersen for treating hereditary transthyretin-related amyloidosis,Approved,2024-11-27,Eplontersen_for_treating_hereditary_transthyretin-related_amyloidosis.pdf,2024-02,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Pembrolizumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,Approved,2024-11-20,Pembrolizumab_with_chemotherapy_before_surgery_(neoadjuvant)_then_alone_after_surgery_(adjuvant)_for_treating_resectable_non-small-cell_lung_cancer.pdf,2024-03,Cancer,Drug
Fedratinib for treating disease-related splenomegaly or symptoms in myelofibrosis,Conditional,2024-11-20,Fedratinib_for_treating_disease-related_splenomegaly_or_symptoms_in_myelofibrosis.pdf,2024-03,"Chronic, Rare Disease (Orphan Drugs)",Drug
Crovalimab for treating paroxysmal nocturnal haemoglobinuria in people 12 years and over,Approved,2024-11-20,Crovalimab_for_treating_paroxysmal_nocturnal_haemoglobinuria_in_people_12_years_and_over.pdf,2024-05,Rare Disease (Orphan Drugs),Drug
Elafibranor for previously treated primary biliary cholangitis,Approved,2024-11-14,Elafibranor_for_previously_treated_primary_biliary_cholangitis.pdf,2024-04,Rare Disease (Orphan Drugs),Drug
Alectinib for adjuvant treatment of ALK-positive non-small-cell lung cancer,Approved,2024-11-13,Alectinib_for_adjuvant_treatment_of_ALK-positive_non-small-cell_lung_cancer.pdf,2024-06,Cancer,Drug
Teclistamab for treating relapsed and refractory multiple myeloma after 3 or more treatments,Approved,2024-11-13,Teclistamab_for_treating_relapsed_and_refractory_multiple_myeloma_after_3_or_more_treatments.pdf,,"Chronic, Cancer",Drug
Avapritinib for treating advanced systemic mastocytosis,Approved,2024-11-06,Avapritinib_for_treating_advanced_systemic_mastocytosis.pdf,,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Danicopan with ravulizumab or eculizumab for treating paroxysmal nocturnal haemoglobinuria,Conditional,2024-10-23,Danicopan_with_ravulizumab_or_eculizumab_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,2022-09,Rare Disease (Orphan Drugs),Drug
"Quizartinib for induction, consolidation and maintenance treatment of newly diagnosed FLT3-ITD-positive acute myeloid leukaemia",Approved,2024-10-23,"Quizartinib_for_induction,_consolidation_and_maintenance_treatment_of_newly_diagnosed_FLT3-ITD-positive_acute_myeloid_leukaemia.pdf",2024-03,Cancer,Drug
Belzutifan for treating tumours associated with von Hippel-Lindau disease,Approved,2024-10-16,Belzutifan_for_treating_tumours_associated_with_von_Hippel-Lindau_disease.pdf,2023-06,"Cancer, Rare Disease (Orphan Drugs)",Drug
Latanoprost–netarsudil for previously treated primary open-angle glaucoma or ocular hypertension,Conditional,2024-10-02,Latanoprost–netarsudil_for_previously_treated_primary_open-angle_glaucoma_or_ocular_hypertension.pdf,2023-06,Chronic,Drug
Trifluridine–tipiracil with bevacizumab for treating metastatic colorectal cancer after 2 systemic treatments,Approved,2024-09-25,Trifluridine–tipiracil_with_bevacizumab_for_treating_metastatic_colorectal_cancer_after_2_systemic_treatments.pdf,2023-12,Cancer,Drug
"Rucaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer",Approved,2024-09-17,"Rucaparib_for_maintenance_treatment_of_relapsed_platinum-sensitive_ovarian,_fallopian_tube_or_peritoneal_cancer.pdf",,"Cancer, Obstetrics/Gynaecology",Drug
Empagliflozin for treating type 2 diabetes in people 10 to 17 years (terminated appraisal),Rejected,2024-09-12,Empagliflozin_for_treating_type_2_diabetes_in_people_10_to_17_years_(terminated_appraisal).pdf,,Chronic,Drug
Evinacumab for treating homozygous familial hypercholesterolaemia in people 12 years and over,Approved,2024-09-11,Evinacumab_for_treating_homozygous_familial_hypercholesterolaemia_in_people_12_years_and_over.pdf,2023-05,"Cardiovascular, Rare Disease (Orphan Drugs)",Drug
Exagamglogene autotemcel for treating transfusion-dependent beta-thalassaemia in people 12 years and over,Conditional,2024-09-11,Exagamglogene_autotemcel_for_treating_transfusion-dependent_beta-thalassaemia_in_people_12_years_and_over.pdf,2023-06,Rare Disease (Orphan Drugs),Drug
Faricimab for treating visual impairment caused by macular oedema after retinal vein occlusion,Approved,2024-09-11,Faricimab_for_treating_visual_impairment_caused_by_macular_oedema_after_retinal_vein_occlusion.pdf,,Nervous System,Drug
Futibatinib for previously treated advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,Approved,2024-09-11,Futibatinib_for_previously_treated_advanced_cholangiocarcinoma_with_FGFR2_fusion_or_rearrangement.pdf,2024-02,"Cancer, Rare Disease (Orphan Drugs)",Drug
Iptacopan for treating paroxysmal nocturnal haemoglobinuria,Approved,2024-09-04,Iptacopan_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,2023-10,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Zanubrutinib for treating marginal zone lymphoma after anti-CD20-based treatment,Approved,2024-09-04,Zanubrutinib_for_treating_marginal_zone_lymphoma_after_anti-CD20-based_treatment.pdf,2024-07,Cancer,Drug
Vibegron for treating symptoms of overactive bladder syndrome,Approved,2024-09-04,Vibegron_for_treating_symptoms_of_overactive_bladder_syndrome.pdf,2024-04,Urinary-Track Diseases,Drug
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced HER2-negative gastric or gastro-oesophageal junction adenocarcinoma,Approved,2024-08-29,Pembrolizumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_advanced_HER2-negative_gastric_or_gastro-oesophageal_junction_adenocarcinoma.pdf,2023-09,Cancer,Drug
Pembrolizumab with platinum- and fluoropyrimidine-based chemotherapy for untreated advanced oesophageal and gastro-oesophageal junction cancer,Approved,2021-10-20,Pembrolizumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_advanced_oesophageal_and_gastro-oesophageal_junction_cancer.pdf,,Cancer,Drug
Risankizumab for treating moderately to severely active ulcerative colitis,Conditional,2024-08-22,Risankizumab_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,2023-11,Chronic,Drug
Relugolix for treating hormone-sensitive prostate cancer,Approved,2024-08-14,Relugolix_for_treating_hormone-sensitive_prostate_cancer.pdf,,Cancer,Drug
Linzagolix for treating moderate to severe symptoms of uterine fibroids,Conditional,2024-08-14,Linzagolix_for_treating_moderate_to_severe_symptoms_of_uterine_fibroids.pdf,2023-09,Obstetrics/Gynaecology,Drug
Enzalutamide for treating non-metastatic prostate cancer after radical prostatectomy or radiotherapy (terminated appraisal),Rejected,2024-08-08,Enzalutamide_for_treating_non-metastatic_prostate_cancer_after_radical_prostatectomy_or_radiotherapy_(terminated_appraisal).pdf,,Cancer,Drug
Abaloparatide for treating osteoporosis after menopause,Conditional,2024-08-07,Abaloparatide_for_treating_osteoporosis_after_menopause.pdf,2023-09,Musculoskeletal diseases,Drug
Burosumab for treating X-linked hypophosphataemia in adults,Approved,2024-08-07,Burosumab_for_treating_X-linked_hypophosphataemia_in_adults.pdf,,Rare Disease (Orphan Drugs),Drug
Trastuzumab deruxtecan for treating HER2-low metastatic or unresectable breast cancer after chemotherapy,Rejected,2024-07-29,Trastuzumab_deruxtecan_for_treating_HER2-low_metastatic_or_unresectable_breast_cancer_after_chemotherapy.pdf,2023-03,Cancer,Drug
"Ivacaftor–tezacaftor–elexacaftor, tezacaftor–ivacaftor and lumacaftor–ivacaftor for treating cystic fibrosis",Approved,2024-07-24,"Ivacaftor–tezacaftor–elexacaftor,_tezacaftor–ivacaftor_and_lumacaftor–ivacaftor_for_treating_cystic_fibrosis.pdf",,"Chronic, Rare Disease (Orphan Drugs)",Drug
Etranacogene dezaparvovec for treating moderately severe or severe haemophilia B,Approved,2024-07-24,Etranacogene_dezaparvovec_for_treating_moderately_severe_or_severe_haemophilia_B.pdf,,Rare Disease (Orphan Drugs),Drug
Tenecteplase for treating acute ischaemic stroke,Approved,2024-07-24,Tenecteplase_for_treating_acute_ischaemic_stroke.pdf,2024-03,Nervous System,Drug
Lebrikizumab for treating moderate to severe atopic dermatitis in people 12 years and over,Conditional,2024-07-10,Lebrikizumab_for_treating_moderate_to_severe_atopic_dermatitis_in_people_12_years_and_over.pdf,,Chronic,Drug
Lisocabtagene maraleucel for treating relapsed or refractory aggressive B-cell non-Hodgkin lymphoma (terminated appraisal),Rejected,2024-07-10,Lisocabtagene_maraleucel_for_treating_relapsed_or_refractory_aggressive_B-cell_non-Hodgkin_lymphoma_(terminated_appraisal).pdf,,Cancer,Drug
Selective internal radiation therapy with QuiremSpheres for treating unresectable advanced hepatocellular carcinoma,Conditional,2024-07-03,Selective_internal_radiation_therapy_with_QuiremSpheres_for_treating_unresectable_advanced_hepatocellular_carcinoma.pdf,2024-01,Cancer,Medical Device
Selective internal radiation therapies for treating hepatocellular carcinoma,Conditional,2021-03-31,Selective_internal_radiation_therapies_for_treating_hepatocellular_carcinoma.pdf,2019-05,Cancer,Other treatment
Tafamidis for treating transthyretin amyloidosis with cardiomyopathy,Approved,2024-06-19,Tafamidis_for_treating_transthyretin_amyloidosis_with_cardiomyopathy.pdf,2023-09,"Cardiovascular, Chronic, Rare Disease (Orphan Drugs)",Drug
Baricitinib for treating juvenile idiopathic arthritis in people 2 years and over (terminated appraisal),Rejected,2024-06-13,Baricitinib_for_treating_juvenile_idiopathic_arthritis_in_people_2_years_and_over_(terminated_appraisal).pdf,,Musculoskeletal diseases,Drug
Pembrolizumab with trastuzumab and chemotherapy for untreated locally advanced unresectable or metastatic HER2-positive gastric or gastro-oesophageal junction adenocarcinoma,Rejected,2024-06-12,Pembrolizumab_with_trastuzumab_and_chemotherapy_for_untreated_locally_advanced_unresectable_or_metastatic_HER2-positive_gastric_or_gastro-oesophageal_junction_adenocarcinoma.pdf,2023-05,Cancer,Drug
Ivosidenib with azacitidine for untreated acute myeloid leukaemia with an IDH1 R132 mutation,Approved,2024-06-05,Ivosidenib_with_azacitidine_for_untreated_acute_myeloid_leukaemia_with_an_IDH1_R132_mutation.pdf,2023-09,Cancer,Drug
Nivolumab for adjuvant treatment of completely resected melanoma at high risk of recurrence in people 12 years and over (terminated appraisal),Rejected,2024-06-05,Nivolumab_for_adjuvant_treatment_of_completely_resected_melanoma_at_high_risk_of_recurrence_in_people_12_years_and_over_(terminated_appraisal).pdf,,Cancer,Drug
Trastuzumab deruxtecan for treating HER2-mutated advanced non-small-cell lung cancer after platinum-based chemotherapy (terminated appraisal),Rejected,2024-05-29,Trastuzumab_deruxtecan_for_treating_HER2-mutated_advanced_non-small-cell_lung_cancer_after_platinum-based_chemotherapy_(terminated_appraisal).pdf,,Cancer,Drug
Dabrafenib with trametinib for treating BRAF V600E mutation-positive glioma in children and young people aged 1 year and over,Approved,2024-05-29,Dabrafenib_with_trametinib_for_treating_BRAF_V600E_mutation-positive_glioma_in_children_and_young_people_aged_1_year_and_over.pdf,2023-10,"Cancer, Nervous System",Drug
Zanubrutinib with obinutuzumab for treating relapsed or refractory B-cell follicular lymphoma after 2 or more treatments (terminated appraisal),Rejected,2024-05-29,Zanubrutinib_with_obinutuzumab_for_treating_relapsed_or_refractory_B-cell_follicular_lymphoma_after_2_or_more_treatments_(terminated_appraisal).pdf,,Cancer,Drug
