Title,Recommendation text,Decision
Ganaxolone for treating seizures caused by CDKL5 deficiency disorder in people 2 years and over,"Ganaxolone is not recommended, within its marketing authorisation, as an add-on treatment option for seizures caused by cyclin-dependent kinase‑like 5 (CDKL5) deficiency disorder (CDD) in children and young people aged 2 to 17 years and adults who turn 18 while on treatment. | This recommendation is not intended to affect treatment with ganaxolone that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop. For children and young people, this decision should be made jointly by the healthcare professional and the child or young person, or their parents or carers.",Rejected
Selpercatinib for advanced thyroid cancer with RET alterations after treatment with a targeted cancer drug in people 12 years and over,"Selpercatinib is recommended as an option in people 12 years and over for treating: advanced RET fusion-positive thyroid cancer that is refractory to radioactive iodine (if radioactive iodine is appropriate), only if systemic treatment is needed after sorafenib or lenvatinib advanced RET-mutant medullary thyroid cancer, only if systemic treatment is needed after cabozantinib or vandetanib.Selpercatinib is only recommended if the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with selpercatinib that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop. For children or young people, this decision should be made jointly by the healthcare professional, the child or young person, and their parents or carers.",Conditional
Selpercatinib for advanced thyroid cancer with RET alterations untreated with a targeted cancer drug in people 12 years and over,"Selpercatinib is recommended as an option for treating: advanced RET fusion-positive thyroid cancer that is refractory to radioactive iodine (if radioactive iodine is appropriate) advanced RET-mutant medullary thyroid cancer.It is for people 12 years and over and is recommended only if: the cancer has not been treated with a targeted cancer drug, and the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with selpercatinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop. For children or young people, this decision should be made jointly by the healthcare professional, the child or young person, and their parents or carers.",Conditional
Olaparib for treating BRCA mutation-positive HER2-negative advanced breast cancer after chemotherapy,"Olaparib is recommended, within its marketing authorisation, as an option for treating HER2-negative locally advanced or metastatic breast cancer with germline BRCA1 or BRCA2 mutations in adults who have had: an anthracycline and a taxane as neoadjuvant or adjuvant treatment, or for metastatic disease, unless these are not suitable, and endocrine therapy if they have hormone receptor (HR)-positive breast cancer, unless this is not suitable.Olaparib is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their healthcare professional, after discussing the advantages and disadvantages of all the options, consider olaparib to be 1 of a range of suitable treatments, the lowest cost option should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account.",Approved
Pembrolizumab for adjuvant treatment of resected non-small-cell lung cancer,"Pembrolizumab is recommended, within its marketing authorisation, as an option for the adjuvant treatment of non-small-cell lung cancer (NSCLC) with a high risk of recurrence after complete resection and platinum-based chemotherapy in adults. Pembrolizumab is only recommended if the company provides it according to thecommercial arrangement.",Approved
Elacestrant for treating oestrogen receptor-positive HER2-negative advanced breast cancer with an ESR1 mutation after endocrine treatment,"Elacestrant is recommended as an option for treating oestrogen receptor (ER)-positive HER2-negative locally advanced or metastatic breast cancer with an activating ESR1 mutation that has progressed after at least 1 line of endocrine treatment plus a cyclin-dependent kinase (CDK) 4 and 6 inhibitor in: women, trans men and non-binary people who have been through the menopause trans women and men.Elacestrant is recommended only if: the cancer has progressed after at least 12 months of endocrine treatment plus a CDK 4 and 6 inhibitor, and the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with elacestrant that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
Vadadustat for treating symptomatic anaemia in adults having dialysis for chronic kidney disease,"Vadadustat is recommended, within its marketing authorisation, as an option for treating symptomatic anaemia caused by chronic kidney disease in adults having maintenance dialysis. Vadadustat is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their healthcare professional consider vadadustat and erythropoiesis stimulating agents (ESAs) to be suitable treatments, after discussing the advantages and disadvantages of all the options, the least expensive should be used. Administration costs, dosages, price per dose and commercial arrangements should all be taken into account.",Approved
Niraparib with abiraterone acetate and prednisone for untreated hormone-relapsed metastatic prostate cancer (terminated appraisal),Recommendation Not Found,Rejected
Anhydrous sodium thiosulfate for preventing hearing loss caused by cisplatin chemotherapy in people 1 month to 17 years with localised solid tumours,"Anhydrous sodium thiosulfate is recommended, within its marketing authorisation, for preventing hearing loss caused by cisplatin chemotherapy in people 1 month to 17 years with localised, non-metastatic solid tumours. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Vamorolone for treating Duchenne muscular dystrophy in people 4 years and over,"Vamorolone is recommended, within its marketing authorisation, as an option for treating Duchenne muscular dystrophy (DMD) in people 4 years and over. Vamorolone is only recommended if the company provides it according to thecommercial arrangement.",Approved
Bimekizumab for treating moderate to severe hidradenitis suppurativa (terminated appraisal),Recommendation Not Found,Rejected
Andexanet alfa for reversing anticoagulation in people with intracranial haemorrhage (terminated appraisal),Recommendation Not Found,Rejected
Durvalumab with chemotherapy before surgery (neoadjuvant) then alone after surgery (adjuvant) for treating resectable non-small-cell lung cancer,"Durvalumab is recommended, within its marketing authorisation, as neoadjuvant treatment with platinum-based chemotherapy, then continued alone as adjuvant treatment, for treating non-small-cell lung cancer (NSCLC) in adults whose cancer: is resectable (tumours 4 cm or over, or node positive) and has no epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.Durvalumab is only recommended if the company provides it according to thecommercial arrangement.",Approved
Andexanet alfa for reversing anticoagulation from apixaban or rivaroxaban,"Andexanet alfa is recommended as an option for reversing anticoagulation from apixaban or rivaroxaban in adults with life-threatening or uncontrolled bleeding, only if: the bleed is in the gastrointestinal tract, and the company provides andexanet alfa according to thecommercial arrangement. | This recommendation has been updated and replaced byNICE's technology appraisal guidance on andexanet alfa for reversing anticoagulation in people with intracranial haemorrhage (terminated appraisal).",Conditional
Tebentafusp for treating advanced uveal melanoma,"Tebentafusp is recommended, within its marketing authorisation, for treating HLA‑A*02:01-positive unresectable or metastatic uveal melanoma in adults. Tebentafusp is only recommended if the company provides it according to thecommercial arrangement.",Approved
Tirzepatide for managing overweight and obesity,"Tirzepatide is recommended as an option for managing overweight and obesity, alongside a reduced-calorie diet and increased physical activity in adults, only if they have: an initial body mass index (BMI) of at least 35 kg/m2and at least 1 weight-related comorbidity.Use a lower BMI threshold (usually reduced by 2.5 kg/m2) for people from South Asian, Chinese, other Asian, Middle Eastern, Black African or African-Caribbean ethnic backgrounds. | If less than 5% of the initial weight has been lost after 6 months on the highest tolerated dose, decide whether to continue treatment, taking into account the benefits and risks of treatment for the person. | These recommendations are not intended to affect treatment with tirzepatide that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS healthcare professional consider it appropriate to stop.",Conditional
