pdf_file,extracted_answer
Abaloparatide_for_treating_osteoporosis_after_menopause.pdf,"1. Yes

2. The technology will provide impetus towards a step-change in the management of osteoporosis as it will provide an additional option in the area of bone-forming treatments. I would hope that increased options will lead to slow but steady decreases in treatment costs, enabling a wider range of higher fracture risk patients to have access to such treatments. The latter is a major unmet need in the treatment of such patients."
Galcanezumab_for_preventing_migraine.pdf,"1. Yes: It is one of the CGRP monoclonal antibodies that are the first ever migraine specific preventive treatment for migraine (both episodic and chronic) which targets the underlying biology of migraine. It offers preventative treatment with a side effect profile is better, and a dosing regimen that is far more attractive than existing treatments which will improve compliance, drop-out rates and quality of life.

2. Galcaenzumab is one of the CGRP monoclonal antibodies that is first-ever migraine-specific preventive treatment for migraine (both episodic and chronic). The treatment after an initial consultation and training is self-administered through monthly subcutaneous injection that may only need an infrequent telephone or email consultation by a specialist headache nurse. This certainly will reduce the cost of care to the patient and the hospital/primary care. The side effect profile is better than existing treatment improving compliance, drop-out rates, and quality of life. Empowering patients, improving compliance, and better side effect profile."
Roxadustat_for_treating_symptomatic_anaemia_in_chronic_kidney_disease.pdf,"1. Yes. It is the first oral preparation to treat anaemia of CKD. It has been seen to be non-inferior to current treatment ESAs in the attainment of target haemoglobin and maintenance within the desired target range. Health-related benefits would be due to a potential increase in patient compliance both due to intentional non-compliance by the patient and inadvertent non-compliance due to having to rely on family members / healthcare professionals. There would also be a potential for a lower requirement of intravenous iron. Iron is an inflammatory substance with a potential association between labile iron and oxidative stress and has potential to cause well recognized hyper-sensitivity reactions necessitating it having to be administered in a hospital setting. An oral preparation would allow an increased number of patients to have treatment initiated sooner as there would be no need to book them into actual clinic to be taught how to use it. Patients could be counselled on the medication virtually or via the telephone. Due to not requiring cold-chain storage the tablets could be posted.

2. This is an innovate technology which has developed from the Nobel Prize winning work of the Oxford group under the auspices of Sir Peter Radcliffe. This technology will add to armory in the effective management of CKD patients and in particular those who do not respond to ESA therapy. Health related benefits data is limited at present and it is difficult to comment on this and if this therapy will be better than current therapies.

Yes – novel and the more physiological approach may have longer term benefits. The combination of increasing haemoglobin with endogenous erythropoietin production and improved iron metabolism is very attractive. Certain groups may particularly benefit from this therapy.

3. HIF PHIs offer a more physiological approach to managing anaemia of CKD and initial data supports a pleiotropic effect of drugs such as Roxadustat in terms of suppressing hepcidin, improving iron utilisation and reducing the need for iron supplementation. For the patient there is likely to be less need for attendance at hospital, less medicalisation of their home with no further need for home sc EPO administration. For hospitals it will mean less patients attending for IV iron infusions which means the healthcare resource can be redirected to deal with other tasks.

4. This is an innovative technology which has developed from the Nobel prize winning work of the Oxford group under the auspices of Sir Peter Radcliffe. This technology will add to the nephrologist armory in the effective management of CKD patients and in particular those who do not respond to ESA therapy. Health related benefits data is limited at present and it is difficult to comment on this and if this therapy will be better than current therapies; is all can say is that it is as effective and safety is comparable.

Yes – novel and the more physiological approach may have longer term benefits as yet not identified including its widespread pleotropic effects which may be positive as in lipids but also negative in other areas. The combination of increasing haemoglobin with endogenous erythropoietin production and improved iron metabolism is very attractive to simplify management."
"Nivolumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_HER2-negative_advanced_gastric,_gastro-oesophageal_junction_or_oesophageal_adenocarcinoma.pdf","1. Yes, this is the first study to demonstrate a benefit with immunotherapy in the first line setting for gastroesophageal adenocarcinoma. Survival is prolonged by a substantial and clinically relevant amount of time. Additionally, long term survival (i.e. one and two year survival is also improved).

2. Yes. The treatment pathway will alter with respect to how long patients remain on 1st line therapy and in the ‘remission’ state due to the superior efficacy of this technology. Patients will, therefore, maintain a better HR QOL level for longer than with current treatments. This impact on health-related benefits and how it might improve the way that current need is met is substantial as the median survival for patients with CPS>=5 has improved survival beyond 12 months. This constitutes a watershed moment for this cancer and offers patients a survival outcome which is superior to a terminal prognosis."
Lenalidomide_plus_dexamethasone_for_multiple_myeloma_after_1_treatment_with_bortezomib.pdf,NULL
Nivolumab_for_adjuvant_treatment_of_resected_oesophageal_or_gastro-oesophageal_junction_cancer.pdf,"1. The technology has a favorable therapeutic window as it has demonstrated good efficacy without significant toxicity or adverse impact on quality of life. Its impact on disease-free survival (doubling of median DFS) is clinically meaningful although overall survival outcomes are awaited. Immunotherapy has been a step-change in many cancer sites and is of emerging importance in gastro-oesophageal cancer. It is a low-toxicity regimen. There are not many interventions in oesophageal cancer that have shown a HR of 0.69 with high statistical significance and doubling of disease-free survival. However, the impact on overall survival is also required. Yes, improvement in survival is a patient group with particularly poor prognosis (median disease free survival 11 months).

2. The technology has a favourable therapeutic window as it has demonstrated good efficacy without significant toxicity or adverse impact on quality of life. Its impact on disease-free survival (doubling of median DFS) is clinically meaningful although overall survival outcomes are awaited. Immunotherapy has been a step-change in many cancer sites and is of emerging importance in gastro-oesophageal cancer. It is a low-toxicity regimen. There are not many interventions in oesophageal cancer that have shown a HR of 0.69 with high statistical significance and doubling of disease-free survival. However, the impact on overall survival is also required.

3. Yes. These data clearly define a patient population who may benefit from this technology. Although the overall survival data from Checkpoint 577 is awaited; the DFS and distant metastasis-free survival curves look very encouraging with clear separation and an encouraging plateauing tail indicating the potential of long term survival at a level yet to be achieved in this patient population."
Atezolizumab_for_treating_locally_advanced_or_metastatic_non-small-cell_lung_cancer_after_chemotherapy.pdf,"1. The company considers that treatment with atezolizumab addresses a significant unmet need and represents a clinically significant innovative therapeutic option, which will provide significant positive impact on patients’ lives."
Aflibercept_for_treating_choroidal_neovascularisation.pdf,"1. Aflibercept is considered to be innovative because it is more potent than ranibizumab, potentially requiring fewer injections. This reduces the impact on patients in terms of the invasiveness of the procedure and the number of hospital visits.

2. Ranibizumab has been a significant improvement compared to PDT for myopic CNV, as the original comparator trials have shown. Whether aflibercept will be significantly better than ranibizumab is unlikely but it maybe better for some patients and would be appropriate to have as an option and both would be good to have as possibilities to switch to if the response is not as hoped. Not compared to ranibizumab but yes compared to pre –anti VEGF days of PDT or laser. No as long as ranibizumab is being offered. Maybe for a few who need many injections as this may lead to a more stable outcome, although most settle after a few injections but the condition can recur.

3. Aflibercept is innovative in that it is the only fusion protein licensed for use in retinal disease. Pre-clinical data have shown aflibercept binds VEGF many times more tightly than native receptors, and inhibits VEGF-A for twice as long as ranibizumab, but the clinical relevance of these data are uncertain. In contrast to ranibizumab, aflibercept also binds several other growth factors in addition to VEGF-A (namely, placental growth factor, VEGF-B and Galectin-1). These additional growth factors are believed to be involved in pathological neovascularisation, although their specific role and the clinical benefits of their inhibition in myopic CNV remain undefined. Current evidence does not suggest a significant efficacy benefit for aflibercept over ranibizumab in myopic CNV but it is very useful for patients and clinicians to have a choice of treatments, especially where these treatments differ in mode of action."
Elranatamab_for_treating_relapsed_and_refractory_multiple_myeloma_after_3_or_more_treatments.pdf,"1. New technology in myeloma targeting BCMA using a bispecific antibody. The results in a single arm Phase 2 study is very encouraging. Yes, new target (BCMA) and a new technology bispecific antibody with significant uplift in response rates."
Padeliporfin_for_untreated_localised_prostate_cancer.pdf,"1. Yes – it is an innovative approach to prostate cancer, and has shown a low side effect profile. It could improve the option for men with intermediate risk disease, or high volume low risk disease, offering them a cancer treatment with much fewer side effects than are seen in standard radical treatments. Yes – although it is one of a number of ways to deliver focal therapy to prostate cancer, it is particularly straightforward from a technical viewpoint meaning that the learning curve for delivering the treatment is very short, particularly for clinicians who have expertise in placing transperineal needles. In addition, access to focal therapy is not equitable across the UK with a minority of centers offering it, and many patients traveling long distances for it. Yes – to treat localized intermediate risk cancers with a low likelihood of significant reduction in urinary, sexual, and bowel function. Whilst other focal therapies seek to offer this, this technology is the only one to have been assessed in a randomized controlled trial. In addition, it has a short learning curve compared to the other two most commonly used focal therapies of high intensity focused ultrasound (HIFU) and cryotherapy.

2. Yes, for the reasons described above. Men, like all patients everywhere, want treatments that are less invasive and better tolerated."
