PDF File,Number of RCTs,Number of Patients
Abaloparatide_for_treating_osteoporosis_after_menopause.pdf,3.0,7422.0
Galcanezumab_for_preventing_migraine.pdf,1.0,420.0
Roxadustat_for_treating_symptomatic_anaemia_in_chronic_kidney_disease.pdf,4.0,2456.0
"Nivolumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_HER2-negative_advanced_gastric,_gastro-oesophageal_junction_or_oesophageal_adenocarcinoma.pdf",1.0,1581.0
Lenalidomide_plus_dexamethasone_for_multiple_myeloma_after_1_treatment_with_bortezomib.pdf,,
Nivolumab_for_adjuvant_treatment_of_resected_oesophageal_or_gastro-oesophageal_junction_cancer.pdf,1.0,794.0
Atezolizumab_for_treating_locally_advanced_or_metastatic_non-small-cell_lung_cancer_after_chemotherapy.pdf,2.0,2075.0
Aflibercept_for_treating_choroidal_neovascularisation.pdf,1.0,120.0
Elranatamab_for_treating_relapsed_and_refractory_multiple_myeloma_after_3_or_more_treatments.pdf,1.0,187.0
Padeliporfin_for_untreated_localised_prostate_cancer.pdf,1.0,158.0
Immunosuppressive_therapy_for_kidney_transplant_in_adults.pdf,,
Midostaurin_for_treating_advanced_systemic_mastocytosis.pdf,2.0,142.0
Pegylated_liposomal_irinotecan_for_treating_pancreatic_cancer_after_gemcitabine.pdf,,
Mepolizumab_for_treating_severe_eosinophilic_asthma.pdf,2.0,400.0
Axicabtagene_ciloleucel_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma_after_first-line_chemoimmunotherapy.pdf,1.0,359.0
"Dasatinib,_nilotinib_and_high-dose_imatinib_for_treating_imatinib-resistant_or_intolerant_chronic_myeloid_leukaemia.pdf",,
Tafasitamab_with_lenalidomide_for_treating_relapsed_or_refractory_diffuse_large_B-cell_lymphoma.pdf,0.0,0.0
Larotrectinib_for_treating_NTRK_fusion-positive_solid_tumours.pdf,3.0,285.0
"Olaparib_for_maintenance_treatment_of_BRCA_mutation-positive_advanced_ovarian,_fallopian_tube_or_peritoneal_cancer_after_response_to_first-line_platinum-based_chemotherapy.pdf",1.0,391.0
Daratumumab_with_lenalidomide_and_dexamethasone_for_untreated_multiple_myeloma_when_a_stem_cell_transplant_is_unsuitable.pdf,1.0,737.0
Trifluridine–tipiracil_with_bevacizumab_for_treating_metastatic_colorectal_cancer_after_2_systemic_treatments.pdf,1.0,492.0
Pembrolizumab_for_adjuvant_treatment_of_completely_resected_stage_3_melanoma.pdf,,
Sofosbuvir–velpatasvir_for_treating_chronic_hepatitis_C.pdf,3.0,1524.0
Pentosan_polysulfate_sodium_for_treating_bladder_pain_syndrome.pdf,,
Cabozantinib_for_previously_treated_advanced_hepatocellular_carcinoma.pdf,1.0,707.0
